codePoint,method,traceArgs,rasterSrcArgs,rasterDestArgs
0000,placeholder,,,
0001,placeholder,,,
0002,placeholder,,,
0003,placeholder,,,
0004,placeholder,,,
0005,placeholder,,,
0006,placeholder,,,
0007,placeholder,,,
0008,placeholder,,,
0009,placeholder,,,
000A,placeholder,,,
000B,placeholder,,,
000C,placeholder,,,
000D,placeholder,,,
000E,placeholder,,,
000F,placeholder,,,
0010,placeholder,,,
0011,placeholder,,,
0012,placeholder,,,
0013,placeholder,,,
0014,placeholder,,,
0015,placeholder,,,
0016,placeholder,,,
0017,placeholder,,,
0018,placeholder,,,
0019,placeholder,,,
001A,placeholder,,,
001B,placeholder,,,
001C,placeholder,,,
001D,placeholder,,,
001E,placeholder,,,
001F,placeholder,,,
0020,scale,,,
0021,placeholder,,,
0022,placeholder,,,
0023,placeholder,,,
0024,placeholder,,,
0025,placeholder,,,
0026,placeholder,,,
0027,placeholder,,,
0028,placeholder,,,
0029,placeholder,,,
002A,placeholder,,,
002B,placeholder,,,
002C,placeholder,,,
002D,placeholder,,,
002E,placeholder,,,
002F,placeholder,,,
0030,trace,,detect,6x17+0+0
0031,trace,,detect,6x17+0+0
0032,trace,,detect,6x17+0+0
0033,trace,,detect,6x17+0+0
0034,trace,,detect,6x17+0+0
0035,trace,,detect,6x17+0+0
0036,trace,,detect,6x17+0+0
0037,trace,,detect,6x17+0+0
0038,trace,,detect,6x17+0+0
0039,trace,,detect,6x17+0+0
003A,placeholder,,,
003B,placeholder,,,
003C,placeholder,,,
003D,placeholder,,,
003E,placeholder,,,
003F,placeholder,,,
0040,trace,,detect,6x17+0+0
0041,trace,,detect,6x17+0+0
0042,trace,,detect,6x17+0+0
0043,trace,,detect,6x17+0+0
0044,trace,,detect,6x17+0+0
0045,trace,,detect,6x17+0+0
0046,trace,,detect,6x17+0+0
0047,trace,,detect,6x17+0+0
0048,trace,,detect,6x17+0+0
0049,trace,,detect,6x17+0+0
004A,trace,,detect,6x17+0+0
004B,trace,,detect,6x17+0+0
004C,trace,,detect,6x17+0+0
004D,trace,,detect,6x17+0+0
004E,trace,,detect,6x17+0+0
004F,trace,,detect,6x17+0+0
0050,trace,,detect,6x17+0+0
0051,trace,,detect,6x17+0+0
0052,trace,,detect,6x17+0+0
0053,trace,,detect,6x17+0+0
0054,trace,,detect,6x17+0+0
0055,trace,,detect,6x17+0+0
0056,trace,,detect,6x17+0+0
0057,trace,,detect,6x17+0+0
0058,trace,,detect,6x17+0+0
0059,trace,,detect,6x17+0+0
005A,trace,,detect,6x17+0+0
005B,placeholder,,,
005C,placeholder,,,
005D,placeholder,,,
005E,placeholder,,,
005F,placeholder,,,
0060,placeholder,,,
0061,placeholder,,,
0062,placeholder,,,
0063,placeholder,,,
0064,placeholder,,,
0065,placeholder,,,
0066,placeholder,,,
0067,placeholder,,,
0068,placeholder,,,
0069,placeholder,,,
006A,placeholder,,,
006B,placeholder,,,
006C,placeholder,,,
006D,placeholder,,,
006E,placeholder,,,
006F,placeholder,,,
0070,placeholder,,,
0071,placeholder,,,
0072,placeholder,,,
0073,placeholder,,,
0074,placeholder,,,
0075,placeholder,,,
0076,placeholder,,,
0077,placeholder,,,
0078,placeholder,,,
0079,placeholder,,,
007A,placeholder,,,
007B,placeholder,,,
007C,placeholder,,,
007D,placeholder,,,
007E,placeholder,,,
007F,placeholder,,,
0080,placeholder,,,
0081,placeholder,,,
0082,placeholder,,,
0083,placeholder,,,
0084,placeholder,,,
0085,placeholder,,,
0086,placeholder,,,
0087,placeholder,,,
0088,placeholder,,,
0089,placeholder,,,
008A,placeholder,,,
008B,placeholder,,,
008C,placeholder,,,
008D,placeholder,,,
008E,placeholder,,,
008F,placeholder,,,
0090,placeholder,,,
0091,placeholder,,,
0092,placeholder,,,
0093,placeholder,,,
0094,placeholder,,,
0095,placeholder,,,
0096,placeholder,,,
0097,placeholder,,,
0098,placeholder,,,
0099,placeholder,,,
009A,placeholder,,,
009B,placeholder,,,
009C,placeholder,,,
009D,placeholder,,,
009E,placeholder,,,
009F,placeholder,,,
00A0,placeholder,,,
00A1,placeholder,,,
00A2,placeholder,,,
00A3,placeholder,,,
00A4,placeholder,,,
00A5,placeholder,,,
00A6,placeholder,,,
00A7,placeholder,,,
00A8,placeholder,,,
00A9,placeholder,,,
00AA,placeholder,,,
00AB,placeholder,,,
00AC,placeholder,,,
00AD,placeholder,,,
00AE,placeholder,,,
00AF,placeholder,,,
00B0,placeholder,,,
00B1,placeholder,,,
00B2,placeholder,,,
00B3,placeholder,,,
00B4,placeholder,,,
00B5,placeholder,,,
00B6,placeholder,,,
00B7,placeholder,,,
00B8,placeholder,,,
00B9,placeholder,,,
00BA,placeholder,,,
00BB,placeholder,,,
00BC,placeholder,,,
00BD,placeholder,,,
00BE,placeholder,,,
00BF,placeholder,,,
00C0,placeholder,,,
00C1,placeholder,,,
00C2,placeholder,,,
00C3,placeholder,,,
00C4,placeholder,,,
00C5,placeholder,,,
00C6,placeholder,,,
00C7,placeholder,,,
00C8,placeholder,,,
00C9,placeholder,,,
00CA,placeholder,,,
00CB,placeholder,,,
00CC,placeholder,,,
00CD,placeholder,,,
00CE,placeholder,,,
00CF,placeholder,,,
00D0,placeholder,,,
00D1,placeholder,,,
00D2,placeholder,,,
00D3,placeholder,,,
00D4,placeholder,,,
00D5,placeholder,,,
00D6,placeholder,,,
00D7,placeholder,,,
00D8,placeholder,,,
00D9,placeholder,,,
00DA,placeholder,,,
00DB,placeholder,,,
00DC,placeholder,,,
00DD,placeholder,,,
